Date,TemperatureRessentie
2024-09-30,32.16
2024-09-30,31.35
2024-09-30,30.48
2024-09-30,26.62
2024-09-30,22.61
2024-09-30,24.14
2024-09-30,36.48
2024-09-30,48.36
2024-09-30,48.41
2024-09-30,43.76
2024-09-30,43.62
2024-09-30,45.15
2024-09-30,44.78
2024-09-30,42.07
2024-09-30,37.62
2024-09-30,34.09
2024-09-30,31.67
2024-09-30,31.58
2024-09-30,31.93
2024-09-30,31.48
2024-09-30,34.5
2024-09-30,29.36
2024-09-30,26.76
2024-10-01,28.51
2024-10-01,29.96
2024-10-01,30.32
2024-10-01,31.31
2024-10-01,33.3
2024-10-01,31.16
2024-10-01,32.12
2024-10-01,39.28
2024-10-01,47.65
2024-10-01,48.63
2024-10-01,43.18
2024-10-01,43.75
2024-10-01,46.07
2024-10-01,44.4
2024-10-01,43.14
2024-10-01,42.3
2024-10-01,41.21
2024-10-01,38.52
2024-10-01,35.1
2024-10-01,36.59
2024-10-01,36.31
2024-10-01,32.44
2024-10-01,29.53
2024-10-01,29.6
2024-10-02,29.67
2024-10-02,31.15
2024-10-02,33.98
2024-10-02,33.2
2024-10-02,30.54
2024-10-02,32.54
2024-10-02,36.57
2024-10-02,39.41
2024-10-02,40.45
2024-10-02,41.08
2024-10-02,38.6
2024-10-02,37.05
2024-10-02,37.06
2024-10-02,35.44
2024-10-02,36.02
2024-10-02,36.04
2024-10-02,32.23
2024-10-02,26.88
2024-10-02,19.19
2024-10-02,15.13
2024-10-02,16.06
2024-10-02,18.0
2024-10-02,19.99
2024-10-02,26.44
2024-10-03,34.41
2024-10-03,27.73
2024-10-03,23.2
2024-10-03,28.32
2024-10-03,35.23
2024-10-03,36.55
2024-10-03,36.13
2024-10-03,35.65
2024-10-03,37.73
2024-10-03,37.57
2024-10-03,35.5
2024-10-03,36.18
2024-10-03,32.49
2024-10-03,27.28
2024-10-03,26.57
2024-10-03,26.28
2024-10-03,26.4
2024-10-03,26.04
2024-10-03,23.8
2024-10-03,24.64
2024-10-03,27.61
2024-10-03,31.99
2024-10-03,36.25
2024-10-03,36.42
2024-10-04,36.45
2024-10-04,32.02
2024-10-04,25.17
2024-10-04,24.07
2024-10-04,26.58
2024-10-04,30.33
2024-10-04,33.01
2024-10-04,34.06
2024-10-04,32.44
2024-10-04,27.99
2024-10-04,16.54
2024-10-04,8.49
2024-10-04,8.46
2024-10-04,8.12
2024-10-04,7.73
2024-10-04,9.73
2024-10-04,13.19
2024-10-04,13.39
2024-10-04,10.9
2024-10-04,11.61
2024-10-04,16.14
2024-10-04,18.38
2024-10-04,20.71
2024-10-04,22.72
2024-10-05,22.32
2024-10-05,24.99
2024-10-05,18.86
2024-10-05,16.49
2024-10-05,20.01
2024-10-05,19.37
2024-10-05,19.69
2024-10-05,21.39
2024-10-05,22.73
2024-10-05,26.89
2024-10-05,28.22
2024-10-05,28.12
2024-10-05,30.39
2024-10-05,29.17
2024-10-05,25.11
2024-10-05,24.46
2024-10-05,23.51
2024-10-05,19.67
2024-10-05,14.52
2024-10-05,18.15
2024-10-05,22.94
2024-10-05,21.59
2024-10-05,21.92
2024-10-05,23.18
2024-10-06,25.29
2024-10-06,29.01
2024-10-06,32.34
2024-10-06,27.43
2024-10-06,23.33
2024-10-06,26.33
2024-10-06,21.87
2024-10-06,23.54
2024-10-06,31.8
2024-10-06,32.02
2024-10-06,32.3
2024-10-06,33.6
2024-10-06,34.02
2024-10-06,34.78
2024-10-06,34.49
2024-10-06,32.29
2024-10-06,29.12
2024-10-06,24.2
2024-10-06,17.9
2024-10-06,18.06
2024-10-06,22.65
2024-10-06,23.54
2024-10-06,21.68
2024-10-06,19.02
2024-10-07,18.99
2024-10-07,21.21
2024-10-07,25.36
2024-10-07,30.79
2024-10-07,32.26
2024-10-07,30.54
2024-10-07,29.15
2024-10-07,38.13
2024-10-07,43.58
2024-10-07,41.16
2024-10-07,37.97
2024-10-07,37.69
2024-10-07,38.13
2024-10-07,36.75
2024-10-07,33.96
